Average_Daily_Rate_USD,Airbnb_Location_Rating
7392,10
6382,6
5632,10
5000,10
4577,10
4550,10
4298,10
3925,10
3458,8
3457,9
3429,10
3304,10
2915,10
2762,9
2750,10
2748,10
2716,10
2640,7
2475,10
2377,9
2326,9
2292,10
2289,10
2200,10
2177,10
2157,10
2132,9
2052,10
2025,10
2021,9
2002,10
2000,4
1938,10
1910,2
1826,10
1825,9
1801,10
1788,10
1754,9
1750,10
1749,10
1745,10
1738,10
1721,10
1718,10
1706,10
1699,9
1640,10
1590,8
1566,9
1560,10
1558,10
1545,10
1521,10
1505,9
1492,10
1468,10
1457,9
1386,10
1375,10
1375,10
1371,9
1366,10
1360,10
1354,10
1341,10
1326,10
1324,6
1305,10
1305,9
1299,9
1289,7
1286,10
1269,10
1257,10
1254,10
1244,10
1219,10
1217,10
1210,10
1208,10
1200,10
1198,10
1194,10
1194,10
1190,9
1149,10
1145,10
1142,10
1135,10
1132,10
1122,10
1121,10
1108,10
1100,10
1089,10
1084,9
1074,9
1072,10
1070,9
1059,10
1058,10
1054,10
1050,9
1047,10
1046,9
1035,10
1035,8
1026,10
1024,9
1012,9
1009,10
1000,10
1000,10
1000,10
990,8
990,10
988,10
975,10
968,10
968,9
967,10
964,10
960,10
960,10
956,10
954,9
950,10
950,10
942,10
940,10
938,10
934,10
933,9
932,10
932,9
925,10
924,10
921,9
912,9
910,9
907,10
900,8
900,9
895,10
888,10
878,9
878,7
877,10
874,9
869,10
866,10
860,10
857,10
856,10
846,9
843,10
839,8
839,9
838,10
836,10
830,10
828,10
820,9
819,8
819,9
816,10
815,10
808,9
807,9
804,9
801,10
799,9
795,10
790,10
789,10
785,10
776,10
772,10
770,9
769,10
769,10
760,10
752,10
752,9
751,6
750,9
750,10
750,10
749,10
744,8
737,10
730,9
727,10
725,10
722,10
717,9
716,9
716,10
714,10
711,10
711,10
708,10
708,10
704,10
701,10
700,10
700,8
699,10
699,10
697,10
697,10
696,10
695,10
695,9
694,10
693,10
693,10
693,10
691,10
690,10
687,9
687,10
686,10
684,9
682,10
681,9
680,9
678,10
678,9
675,10
675,10
673,10
672,10
671,10
671,10
669,10
665,10
664,10
664,10
662,10
660,9
659,10
658,9
657,10
655,10
651,8
650,10
650,9
649,10
649,10
647,10
647,10
646,10
645,10
633,10
633,10
631,10
630,10
629,10
627,10
626,10
625,9
624,9
624,9
619,10
617,10
616,10
616,10
615,9
614,8
613,10
612,9
612,10
611,10
609,9
608,10
608,10
608,10
607,10
607,10
605,10
605,10
603,10
602,10
602,10
602,10
600,10
600,10
600,10
600,10
599,10
599,10
599,6
599,10
598,10
598,10
597,10
596,10
596,9
594,10
591,9
590,9
589,9
589,10
587,10
586,9
586,9
586,10
585,10
585,10
585,9
584,9
584,9
584,10
583,10
583,10
582,10
581,9
578,10
578,8
576,9
576,10
576,8
575,10
575,10
574,10
574,10
573,10
570,10
569,10
569,9
567,10
567,9
566,10
563,10
563,10
562,10
561,10
558,10
556,10
556,8
555,10
555,10
554,10
553,10
553,10
551,10
550,10
550,9
550,10
550,10
550,10
549,10
549,9
549,10
548,10
548,10
548,10
547,10
546,10
545,10
544,9
544,10
543,10
543,10
542,10
539,10
538,9
534,10
534,10
533,9
533,10
532,9
531,10
530,10
530,8
530,9
530,10
529,8
527,10
527,10
527,10
526,9
526,10
525,10
524,10
523,9
523,9
522,10
521,10
520,10
520,10
520,10
519,10
518,9
517,10
516,9
516,10
515,10
514,10
514,9
513,9
513,5
512,9
511,10
511,10
510,10
509,10
509,9
508,9
507,10
507,9
507,10
506,9
506,10
504,10
503,10
503,10
503,10
501,6
500,10
500,10
500,10
500,9
500,9
500,10
500,10
499,9
499,9
499,9
499,10
499,9
497,8
497,10
496,10
495,10
495,10
495,10
495,9
494,10
494,6
494,10
493,10
493,9
492,9
492,9
492,9
491,10
490,10
490,9
489,10
489,8
488,8
488,2
486,10
486,9
486,10
486,10
486,10
486,8
486,10
485,10
485,10
485,10
484,10
484,9
482,10
480,10
480,9
479,9
478,9
478,9
478,9
478,9
477,10
477,10
476,10
476,10
476,10
476,10
476,10
475,10
475,10
475,10
474,10
473,10
473,10
471,9
471,8
471,10
471,10
471,10
470,10
469,10
468,9
468,10
468,10
468,10
467,9
466,10
466,10
465,10
465,9
463,10
463,10
462,10
462,10
461,10
461,9
460,10
460,10
459,10
459,10
459,10
458,10
458,6
457,10
457,10
457,10
457,10
456,10
456,10
456,10
455,10
455,9
455,10
455,10
454,10
454,10
453,9
453,10
453,10
453,6
452,10
452,10
451,10
451,10
450,10
450,10
450,10
450,10
450,10
450,8
450,9
450,10
450,9
449,10
449,10
449,10
448,10
448,10
448,10
448,10
447,10
447,10
447,9
447,10
447,10
446,9
446,10
446,10
446,10
446,10
445,10
445,10
444,10
444,10
444,10
444,10
443,10
443,9
443,10
443,10
442,10
442,10
442,10
442,8
441,10
440,10
440,10
439,10
439,10
439,9
438,9
438,10
437,10
437,9
437,10
436,9
436,10
436,10
436,10
436,10
435,10
434,10
434,10
434,10
433,10
433,10
433,9
432,10
432,10
432,9
431,10
431,9
431,10
431,9
430,10
430,10
430,10
430,9
430,10
430,10
429,2
429,10
429,10
429,9
428,10
428,10
428,9
428,10
428,10
428,10
427,10
427,10
426,10
426,10
426,10
426,10
426,8
426,10
425,10
425,10
424,10
424,9
424,10
424,9
424,10
424,10
423,10
423,10
423,10
422,10
422,10
422,10
422,10
422,10
422,10
421,10
421,9
421,10
421,10
420,10
420,10
419,10
419,10
419,10
419,10
419,10
419,10
419,10
419,10
418,10
418,8
418,10
418,10
418,10
418,9
418,10
418,10
418,10
416,10
416,10
415,8
414,7
414,10
414,10
414,6
413,10
413,10
412,10
412,10
411,10
411,10
411,10
411,10
410,6
410,7
409,10
409,10
408,10
408,9
408,10
408,10
407,10
406,10
406,9
406,9
406,10
406,10
406,10
406,10
405,10
405,9
405,10
405,10
405,10
405,10
404,10
404,10
402,10
402,8
402,10
402,10
402,10
402,10
401,10
401,9
401,10
401,10
400,10
400,10
400,10
400,8
400,10
400,10
400,10
400,9
400,10
399,9
399,9
399,9
399,10
399,10
399,9
399,6
399,10
398,10
398,10
398,10
397,10
397,10
397,8
396,10
396,9
395,10
395,9
394,10
394,10
394,9
394,10
393,7
393,10
393,9
393,9
392,9
392,10
392,10
392,9
392,9
391,10
391,10
391,10
391,10
390,10
390,10
390,10
390,10
389,10
389,9
389,10
389,8
388,9
388,9
388,10
388,10
388,10
387,10
387,10
387,10
386,10
386,10
386,10
385,10
385,8
384,10
384,9
384,7
383,10
383,10
383,9
383,10
383,9
382,10
382,9
382,10
382,10
382,10
382,10
381,9
381,10
381,10
381,9
381,10
380,10
380,10
380,10
380,10
380,10
380,10
380,10
380,10
380,9
379,9
379,10
379,10
379,9
379,10
378,10
378,10
378,10
378,10
378,10
378,10
378,10
378,10
378,10
377,10
377,10
377,10
377,9
377,10
377,10
377,10
376,9
376,10
376,10
376,10
376,10
376,10
375,10
375,10
375,10
375,9
375,10
375,10
374,10
374,10
374,10
373,10
373,10
373,10
373,10
373,10
373,9
372,10
372,10
372,9
372,10
372,8
372,10
371,10
371,10
371,10
371,9
371,9
370,10
370,9
370,10
370,10
370,10
370,8
369,10
369,10
369,8
369,10
369,10
369,10
368,10
368,10
368,10
368,10
368,9
368,10
367,10
367,10
367,10
367,10
367,10
367,10
367,10
367,10
366,9
366,10
366,10
366,10
365,10
365,10
365,10
365,10
365,9
365,9
365,10
365,10
365,10
365,10
365,10
364,10
364,10
364,9
364,10
364,8
364,9
364,10
364,9
363,10
363,10
363,10
363,10
363,10
362,10
362,10
362,10
362,10
361,10
361,10
361,9
361,8
360,10
360,10
360,10
360,10
360,9
360,10
360,8
360,10
360,9
360,10
360,10
360,9
360,10
360,10
359,10
359,10
359,10
359,10
359,9
358,10
358,10
358,10
358,10
358,10
358,10
358,10
358,10
358,10
358,10
358,9
358,10
358,10
357,10
357,10
357,10
357,8
356,9
356,10
356,10
356,10
356,10
356,10
356,9
356,10
356,10
355,9
355,10
355,10
355,10
355,10
354,10
354,10
353,10
353,10
353,9
353,10
353,10
353,10
353,9
353,10
353,9
353,9
353,10
352,10
352,10
352,10
352,9
352,9
352,10
351,9
351,10
351,10
351,10
351,9
351,10
350,10
350,10
350,10
350,10
350,10
350,10
350,10
349,10
349,10
349,10
349,10
349,10
349,9
349,10
349,9
349,10
349,8
349,10
349,10
348,10
348,10
348,9
348,10
348,10
347,10
347,10
347,9
346,10
346,10
346,10
346,10
346,10
346,10
346,10
346,10
346,10
345,10
345,10
345,9
345,9
345,9
345,10
345,10
345,10
345,10
345,10
345,10
344,10
344,10
344,10
344,10
344,6
343,10
343,10
343,10
343,10
343,9
343,10
343,9
343,9
342,10
342,9
342,10
342,9
341,10
341,10
341,10
341,9
341,9
341,8
340,10
340,10
340,10
340,10
340,10
340,10
340,10
340,10
340,10
339,10
339,10
339,10
339,10
339,5
339,10
339,10
338,10
338,10
338,10
338,10
338,10
337,10
337,10
337,10
337,10
337,10
337,10
337,10
336,10
336,10
336,10
336,10
335,9
335,10
335,10
335,10
335,10
334,10
334,10
334,10
334,10
334,10
334,10
333,10
333,10
333,8
333,9
333,10
333,10
333,6
333,10
333,10
332,10
332,10
332,9
332,9
332,10
332,9
331,10
331,10
331,10
330,10
330,9
330,10
330,10
330,10
330,10
330,9
330,8
330,10
330,10
329,10
329,10
329,10
328,10
328,10
328,10
328,9
328,10
328,10
327,10
327,10
327,10
327,10
326,10
326,10
326,9
326,9
326,10
326,9
326,10
325,10
325,10
325,10
325,8
325,10
325,10
324,10
324,10
324,8
324,10
324,10
324,5
324,10
323,9
323,10
323,10
323,10
323,10
323,10
322,10
322,10
322,10
322,10
322,10
322,10
322,10
322,10
322,8
321,10
321,10
321,10
321,10
321,10
321,10
321,10
321,10
321,10
321,10
321,10
320,10
320,10
320,10
320,10
320,10
320,10
320,8
320,10
320,10
320,10
320,10
319,10
319,10
319,9
319,10
318,10
318,10
318,10
318,10
318,10
318,10
318,10
318,10
318,10
318,10
317,10
317,10
317,10
317,10
316,10
316,10
316,9
316,10
316,10
316,10
316,10
316,10
316,10
316,9
316,10
316,10
316,10
315,10
315,10
315,9
315,10
315,10
315,9
315,10
315,9
314,10
314,10
314,10
314,10
314,10
314,10
314,10
314,10
314,6
314,10
314,10
314,9
313,10
313,10
313,9
313,10
313,10
313,10
313,10
313,9
312,10
312,10
312,10
312,9
312,9
312,10
312,10
312,6
311,10
311,10
311,10
311,10
311,9
311,10
311,10
311,9
311,10
311,10
310,10
310,10
310,10
310,10
310,9
310,10
310,10
310,9
310,10
310,10
310,10
310,10
310,10
310,10
310,10
310,10
310,10
310,10
309,10
309,8
309,10
309,10
309,9
309,10
309,9
309,10
308,10
308,9
308,10
308,10
308,10
308,10
308,9
308,9
308,9
308,10
308,10
308,9
308,10
307,10
307,10
307,10
307,10
307,10
307,10
307,10
307,10
307,8
307,10
307,10
306,9
306,9
306,10
306,10
306,10
306,10
306,10
306,9
305,10
305,10
305,10
305,10
305,10
305,9
305,10
305,10
305,10
304,10
304,10
304,10
304,10
304,10
304,9
304,10
304,9
304,10
304,10
304,10
304,10
304,8
304,10
304,10
303,10
303,10
303,10
303,10
303,9
303,9
303,10
303,10
303,10
302,10
302,10
302,10
302,10
302,10
302,10
302,10
302,10
302,10
302,9
302,10
302,9
302,10
302,9
302,10
302,10
302,9
302,10
301,10
301,10
301,9
301,10
301,10
301,10
301,10
301,10
301,10
300,10
300,10
300,10
300,10
300,10
300,10
300,10
300,9
300,10
300,10
300,9
300,10
300,9
300,9
300,10
300,10
300,9
300,10
300,9
300,10
300,10
300,10
300,10
300,10
300,10
300,10
300,10
300,10
299,10
299,10
299,10
299,10
299,10
299,10
299,10
299,10
299,10
299,10
299,10
299,10
298,9
298,10
298,10
298,10
298,9
298,10
298,10
298,10
298,10
297,10
297,10
297,9
297,9
296,10
296,10
296,10
296,10
296,9
296,10
296,10
296,9
296,10
296,10
295,10
295,10
295,6
295,10
295,10
295,10
295,9
295,10
295,10
294,10
294,10
294,10
294,10
294,10
294,10
294,10
294,10
294,8
294,10
294,10
294,10
294,8
294,9
294,10
294,10
294,10
294,9
294,10
294,9
294,9
294,10
293,10
293,10
293,10
293,10
293,10
293,10
293,10
293,10
293,10
293,10
293,10
293,10
293,10
293,10
293,10
292,10
292,10
292,10
292,9
292,10
292,10
292,10
292,10
292,10
291,10
291,9
291,10
291,10
291,10
291,10
291,10
291,9
291,10
290,10
290,10
290,10
290,10
290,10
290,9
290,10
290,10
290,10
290,10
290,10
289,9
289,9
289,9
289,10
289,10
289,10
289,10
289,10
288,10
288,10
288,10
288,10
288,10
288,10
288,9
288,10
288,10
288,10
288,10
288,10
288,10
287,10
287,10
287,8
287,10
287,10
287,9
286,10
286,8
286,9
286,8
286,9
286,10
286,10
286,10
286,10
286,10
286,10
285,10
285,10
285,10
285,10
285,10
285,8
285,10
285,10
284,10
284,10
284,10
284,10
284,10
284,9
284,10
284,9
284,10
284,9
283,10
283,10
283,10
283,10
283,10
283,10
283,10
283,10
283,9
283,10
283,10
283,10
283,10
283,9
283,10
283,10
283,10
283,10
282,10
282,9
282,10
282,10
282,6
282,10
282,9
282,10
282,10
282,10
281,10
281,10
281,10
281,9
281,10
281,10
281,9
280,10
280,10
280,10
280,9
280,8
280,10
280,10
280,10
280,9
280,10
280,10
280,10
280,10
280,10
280,10
280,10
280,10
280,10
280,10
279,10
279,10
279,10
279,10
279,10
279,10
279,10
279,10
279,10
279,10
278,10
278,9
278,10
278,10
278,10
278,10
278,10
278,10
278,10
278,10
278,10
278,10
278,10
278,8
278,10
277,10
277,10
277,10
277,10
277,10
277,10
277,10
277,9
277,10
277,10
276,10
276,10
276,10
276,10
276,10
276,10
276,10
276,10
276,9
276,10
275,10
275,10
275,10
275,10
275,10
275,10
275,10
275,9
275,10
275,10
275,10
275,10
275,10
275,10
275,10
275,10
274,10
274,9
274,5
274,10
274,10
274,10
274,8
274,10
273,10
273,9
273,10
273,10
273,10
273,10
273,10
273,10
273,9
273,10
273,10
273,10
272,10
272,10
272,10
272,10
272,10
272,10
272,10
272,10
272,10
272,10
272,10
272,10
272,10
272,10
272,10
272,10
271,10
271,9
271,10
271,10
271,10
271,10
271,10
271,10
271,9
270,10
270,10
270,10
270,10
270,10
270,10
270,10
270,10
270,9
270,9
270,10
270,2
270,9
269,10
269,10
269,10
269,9
268,10
268,10
268,9
268,10
268,9
268,10
268,10
268,7
268,10
268,10
268,10
268,10
268,9
268,10
268,10
268,10
267,10
267,10
267,10
267,10
267,9
267,10
267,10
267,10
267,10
267,10
267,10
267,9
267,10
266,9
266,10
266,10
266,10
266,10
266,10
266,10
266,10
266,10
266,10
266,9
266,10
266,10
266,10
265,10
265,10
265,10
265,10
265,10
265,10
265,10
265,10
265,9
265,10
264,10
264,10
264,10
264,10
264,10
264,9
264,10
264,10
264,10
264,10
264,10
264,10
264,10
264,10
263,10
263,10
263,10
263,10
263,10
263,10
262,10
262,10
262,10
262,10
262,9
262,10
262,10
262,9
262,10
262,10
262,10
262,10
262,10
262,10
262,8
262,9
262,10
262,10
262,6
261,10
261,10
261,10
261,10
261,8
261,10
261,10
261,10
261,10
261,10
261,10
260,10
260,10
260,10
260,10
260,10
260,9
260,10
260,10
260,10
260,10
260,10
260,10
260,10
260,10
260,10
260,10
260,9
260,10
260,10
260,10
260,10
259,10
259,10
259,10
259,10
259,9
259,10
259,9
259,10
259,9
259,8
259,10
259,10
259,10
259,10
258,10
258,10
258,10
258,9
258,10
258,9
258,9
258,10
258,2
258,10
258,10
257,10
257,10
257,10
257,10
257,10
257,10
257,9
256,10
256,10
256,10
256,10
256,10
256,10
256,10
256,10
256,9
256,9
256,10
256,10
256,10
255,10
255,10
255,10
255,10
255,10
255,10
255,10
255,10
255,9
255,10
255,10
255,10
255,10
254,9
254,8
254,10
254,10
254,10
254,10
254,10
254,10
254,10
254,10
254,9
254,10
254,10
253,10
253,10
253,10
253,10
253,9
253,10
253,10
253,10
253,10
253,10
252,10
252,9
252,10
252,10
252,10
252,10
252,10
252,10
252,10
252,10
252,10
252,10
252,8
252,10
252,10
252,10
252,10
251,10
251,10
251,10
251,10
251,10
251,10
251,10
251,10
251,10
251,10
251,10
251,9
251,10
251,9
251,10
251,10
251,10
250,10
250,10
250,10
250,10
250,10
250,9
250,10
250,10
250,10
250,10
250,10
250,9
250,9
250,10
250,10
250,10
250,10
250,10
250,10
250,10
250,10
250,10
250,10
250,10
250,10
250,10
250,10
250,10
250,9
250,10
250,10
250,10
250,10
250,10
250,9
250,9
250,10
250,10
250,8
250,10
250,10
250,10
250,10
250,10
249,10
249,10
249,10
249,9
249,9
249,9
249,10
249,9
249,9
249,10
249,10
249,10
249,10
249,9
249,10
248,10
248,9
248,10
248,10
248,10
248,10
248,2
248,10
248,10
248,9
248,9
248,9
248,10
247,10
247,10
247,9
247,10
247,10
247,10
247,10
247,8
247,10
246,10
246,9
246,10
246,10
246,10
246,10
246,9
246,10
246,10
246,10
246,10
246,10
246,10
246,10
246,10
245,10
245,10
245,9
245,10
245,10
245,10
245,10
245,9
245,9
245,10
245,10
245,10
245,10
245,10
245,10
245,8
245,10
245,10
245,10
244,9
244,10
244,10
244,10
244,10
244,10
244,9
244,9
244,10
244,10
244,9
244,10
244,10
244,10
244,10
244,10
244,10
244,10
244,10
244,10
243,9
243,9
243,10
243,9
243,10
243,10
243,10
243,9
243,10
243,10
243,7
242,9
242,10
242,10
242,10
242,10
242,10
242,9
242,10
242,10
242,10
242,9
242,9
242,10
242,10
242,10
242,10
242,8
242,10
242,10
241,10
241,9
241,10
241,10
241,10
241,10
241,9
241,10
241,10
241,10
240,10
240,10
240,10
240,10
240,9
240,10
240,10
240,10
240,10
240,10
240,10
240,10
240,8
240,9
240,8
240,10
239,10
239,10
239,10
239,10
239,10
239,9
239,9
239,10
239,10
239,10
239,9
239,10
239,10
239,10
239,9
239,10
239,10
238,10
238,10
238,9
238,10
238,10
238,10
238,10
238,10
238,10
238,9
238,10
238,10
238,9
238,10
238,10
238,10
238,10
238,10
238,10
238,10
238,9
238,10
238,10
238,10
237,9
237,8
237,10
237,10
237,10
237,10
237,10
237,10
237,10
237,10
237,8
237,10
237,9
237,9
237,10
237,10
237,10
237,9
237,10
236,10
236,10
236,10
236,10
236,9
236,10
236,10
236,10
236,10
236,9
236,10
236,9
236,10
236,10
236,9
236,9
236,10
236,10
236,10
236,10
235,9
235,9
235,10
235,10
235,10
235,9
235,9
235,10
235,10
235,10
235,10
235,9
235,10
235,10
235,10
235,10
235,10
234,10
234,10
234,9
234,10
234,9
234,10
234,9
234,8
234,10
234,10
234,10
234,10
234,10
234,10
234,9
234,10
234,10
234,10
234,10
234,10
234,10
234,10
234,10
233,10
233,10
233,10
233,9
233,10
233,10
233,9
233,9
233,10
233,8
233,10
233,9
233,8
232,10
232,10
232,10
232,10
232,10
232,10
232,10
232,10
232,10
232,10
232,10
232,10
232,10
231,10
231,10
231,10
231,9
231,10
231,9
231,10
231,10
231,10
231,10
231,10
231,10
231,10
231,10
231,10
230,10
230,10
230,10
230,9
230,9
230,10
230,10
230,10
230,10
230,10
230,10
230,10
230,10
230,9
230,10
230,10
229,10
229,10
229,10
229,10
229,8
229,9
229,9
229,9
229,10
229,9
229,10
229,10
229,10
229,10
229,10
228,10
228,10
228,10
228,10
228,9
228,10
228,10
228,10
228,10
228,9
228,10
228,10
227,8
227,10
227,10
227,10
227,10
227,9
227,9
227,10
227,10
227,9
227,10
227,10
227,10
227,10
227,10
227,10
227,10
227,9
227,9
227,10
226,10
226,10
226,10
226,10
226,10
226,10
226,10
226,10
226,10
226,10
226,10
226,10
226,10
226,10
226,9
226,10
226,10
226,10
225,10
225,10
225,10
225,10
225,10
225,10
225,9
225,10
225,10
225,2
225,10
225,10
224,9
224,10
224,10
224,9
224,10
224,10
224,8
224,9
224,9
224,10
224,10
223,10
223,8
223,10
223,10
223,10
223,10
223,9
223,10
223,9
223,10
223,10
223,10
223,10
223,10
222,10
222,10
222,10
222,10
222,10
222,10
222,10
222,10
222,10
222,9
222,9
222,10
222,10
222,10
222,9
222,10
222,10
222,9
222,10
222,8
221,10
221,10
221,10
221,10
221,10
221,10
221,9
221,10
221,9
221,10
221,10
221,9
221,10
220,10
220,10
220,10
220,10
220,9
220,10
220,10
220,10
220,10
220,9
220,10
220,9
220,7
220,10
220,9
220,10
220,10
220,9
220,10
220,10
220,9
220,10
220,10
219,10
219,10
219,9
219,10
219,10
219,10
219,10
219,10
219,10
219,10
219,10
219,10
219,10
219,10
219,10
219,10
219,10
219,10
219,9
219,9
219,10
219,10
219,10
219,10
219,10
219,10
219,10
218,10
218,10
218,10
218,10
218,10
218,10
218,10
218,10
218,10
218,10
218,10
218,10
218,8
217,10
217,10
217,10
217,9
217,10
217,9
217,9
217,10
217,10
217,9
217,10
217,10
217,10
217,9
217,10
217,10
217,10
216,10
216,10
216,10
216,10
216,10
216,10
216,10
216,10
216,7
216,10
216,9
216,10
216,9
216,10
216,10
216,10
216,10
216,8
216,10
216,10
216,10
216,7
216,10
216,10
215,10
215,8
215,10
215,10
215,10
215,10
215,10
215,9
215,10
215,9
215,10
215,10
215,9
215,10
215,10
215,10
215,9
214,9
214,10
214,10
214,10
214,10
214,10
214,10
214,9
214,10
214,9
214,10
214,10
214,8
214,10
214,10
214,10
214,10
214,10
214,10
214,10
213,10
213,10
213,10
213,10
213,10
213,10
213,10
213,10
213,10
213,10
213,10
213,10
213,9
213,10
213,10
213,10
213,10
213,10
213,10
213,10
212,10
212,10
212,9
212,9
212,10
212,10
212,10
212,10
212,9
212,10
212,10
212,10
212,10
212,9
212,10
211,10
211,10
211,9
211,9
211,10
211,8
211,10
211,10
211,10
211,10
211,10
211,10
211,10
211,10
211,9
211,10
211,10
211,10
211,10
211,10
210,10
210,9
210,10
210,10
210,10
210,10
210,10
210,10
210,8
210,10
210,10
210,10
210,8
210,10
210,10
210,10
210,10
210,10
210,10
210,10
210,10
210,10
210,10
210,10
210,10
210,10
209,10
209,10
209,10
209,10
209,10
209,10
209,10
209,9
209,10
209,10
209,10
209,10
209,10
209,10
209,10
209,10
209,10
209,10
209,10
209,10
209,8
209,10
209,10
209,10
209,10
209,10
208,10
208,10
208,10
208,10
208,10
208,10
208,10
208,10
208,10
208,10
208,10
208,10
208,10
208,10
208,10
208,10
208,10
208,10
207,10
207,10
207,9
207,9
207,10
207,10
207,10
207,10
207,10
207,8
